state,demographics_year,total_population,st_population,st_share_state_population_pct,state_share_india_st_population_pct,decadal_growth_pct,high_st_share_year,high_st_share_state_population_pct,high_st_state_share_india_st_population_pct,is_high_st_share_state,literacy_year,total_literacy_rate_pct,st_literacy_rate_pct,literacy_gap_pct,enrolment_year,pre_primary_total,primary_total,upper_primary_total,pre_primary_female_share_pct,primary_female_share_pct,upper_primary_female_share_pct,academic_year,dropout_primary_pct,dropout_upper_primary_pct,dropout_secondary_pct,ger_classes_i_viii_boys,ger_classes_i_viii_girls,ger_classes_i_viii,ger_classes_i_x_boys,ger_classes_i_x_girls,ger_classes_i_x,ger_classes_i_xii_boys,ger_classes_i_xii_girls,ger_classes_i_xii,ger_classes_ix_x_boys,ger_classes_ix_x_girls,ger_classes_ix_x,ger_classes_ix_xii_boys,ger_classes_ix_xii_girls,ger_classes_ix_xii,ger_classes_xi_xii_boys,ger_classes_xi_xii_girls,ger_classes_xi_xii,ger_classes_i_viii_gpi,ger_classes_i_x_gpi,ger_classes_i_xii_gpi,ger_classes_ix_x_gpi,ger_classes_ix_xii_gpi,ger_classes_xi_xii_gpi,ger_year,ger_latest_year,ger_latest_primary_boys,ger_latest_primary_girls,ger_latest_primary_total,ger_latest_upper_primary_boys,ger_latest_upper_primary_girls,ger_latest_upper_primary_total,ger_latest_elementary_boys,ger_latest_elementary_girls,ger_latest_elementary_total,ger_latest_secondary_boys,ger_latest_secondary_girls,ger_latest_secondary_total,ger_latest_higher_secondary_boys,ger_latest_higher_secondary_girls,ger_latest_higher_secondary_total,ger_latest_primary_gpi,ger_latest_upper_primary_gpi,ger_latest_elementary_gpi,ger_latest_secondary_gpi,ger_latest_higher_secondary_gpi,ger_latest_ix_xii_avg_boys,ger_latest_ix_xii_avg_girls,ger_latest_ix_xii_avg_total,ger_latest_ix_xii_avg_gpi,ger_latest_ix_xii_avg,gpi_academic_year,gpi_primary_2021_22,gpi_upper_primary_2021_22,gpi_secondary_2021_22,gpi_higher_secondary_2021_22,gpi_primary_2020_21,gpi_upper_primary_2020_21,gpi_secondary_2020_21,gpi_higher_secondary_2020_21,gpi_primary,gpi_upper_primary,gpi_secondary,gpi_higher_secondary,gpi_ix_xii_avg,scholarship_post_matric_2019_20_release_lakh,scholarship_post_matric_2019_20_utilized_lakh,scholarship_post_matric_2020_21_release_lakh,scholarship_post_matric_2020_21_utilized_lakh,scholarship_post_matric_2021_22_release_lakh,scholarship_post_matric_2021_22_utilized_lakh,scholarship_post_matric_2022_23_release_lakh,scholarship_post_matric_2022_23_utilized_lakh,scholarship_post_matric_2023_24_release_lakh,scholarship_post_matric_2023_24_utilized_lakh,scholarship_pre_matric_2019_20_release_lakh,scholarship_pre_matric_2019_20_utilized_lakh,scholarship_pre_matric_2020_21_release_lakh,scholarship_pre_matric_2020_21_utilized_lakh,scholarship_pre_matric_2021_22_release_lakh,scholarship_pre_matric_2021_22_utilized_lakh,scholarship_pre_matric_2022_23_release_lakh,scholarship_pre_matric_2022_23_utilized_lakh,scholarship_pre_matric_2023_24_release_lakh,scholarship_pre_matric_2023_24_utilized_lakh,scholarship_total_release_2019_20_lakh,scholarship_total_utilized_2019_20_lakh,scholarship_utilization_2019_20_pct,scholarship_total_release_2020_21_lakh,scholarship_total_utilized_2020_21_lakh,scholarship_utilization_2020_21_pct,scholarship_total_release_2021_22_lakh,scholarship_total_utilized_2021_22_lakh,scholarship_utilization_2021_22_pct,scholarship_total_release_2022_23_lakh,scholarship_total_utilized_2022_23_lakh,scholarship_utilization_2022_23_pct,scholarship_total_release_2023_24_lakh,scholarship_total_utilized_2023_24_lakh,scholarship_utilization_2023_24_pct,scholarship_cumulative_release_lakh,scholarship_cumulative_utilized_lakh,scholarship_cumulative_utilization_pct,scholarship_total_release_2023_24_lakh_per_100k_st_pop,scholarship_total_utilized_2023_24_lakh_per_100k_st_pop,scholarship_cumulative_release_lakh_per_100k_st_pop,scholarship_cumulative_utilized_lakh_per_100k_st_pop,employment_lfpr_female_per_1000,employment_lfpr_male_per_1000,employment_lfpr_person_per_1000,employment_pu_female_per_1000,employment_pu_male_per_1000,employment_pu_person_per_1000,employment_wpr_female_per_1000,employment_wpr_male_per_1000,employment_wpr_person_per_1000,st_bpl_rural_pct,st_bpl_urban_pct,st_bpl_mean_pct,mgnreg_year,mgnreg_job_card_households_per_1000,mgnreg_work_less_20_days_per_1000,mgnreg_work_20_50_days_per_1000,mgnreg_work_50_100_days_per_1000,mgnreg_work_100_plus_days_per_1000,mgnreg_sought_not_received_per_1000,mgnreg_not_seeking_work_per_1000,mgnreg_average_days_worked,mgnreg_work_received_any_days_per_1000,mgnreg_100_plus_share_of_work_received_pct,st_population_rural,st_population_urban,st_population_residence_total,st_population_urban_share_pct,tribal_villages_gt_25_count,tribal_villages_gt_50_count,tribal_villages_gt_75_count,tribal_villages_gt_90_count,tribal_villages_100_pct_count,low_literacy_district_count,low_literacy_female_min_pct,low_literacy_female_mean_pct,low_literacy_total_mean_pct,tribe_count,tribe_population_total,tribe_weighted_literacy_total_pct,tribe_weighted_literacy_male_pct,tribe_weighted_literacy_female_pct,tribe_weighted_wpr_pct,tribe_weighted_main_worker_pct,tribe_weighted_marginal_worker_pct,hh_self_employed_agriculture_pct,hh_self_employed_non_agriculture_pct,hh_regular_wage_salary_pct,hh_casual_labour_agriculture_pct,hh_casual_labour_non_agriculture_pct,hh_others_pct,estimated_households,sample_households,st_literacy_deprivation_pct,female_literacy_deprivation_pct,score_component_st_literacy_deprivation_pct,score_component_female_literacy_deprivation_pct,score_component_literacy_gap_pct,score_component_dropout_secondary_pct,score_component_low_literacy_district_count,score_component_st_bpl_mean_pct,score_component_employment_pu_person_per_1000,score_component_mgnreg_sought_not_received_per_1000,education_disadvantage_score,economic_vulnerability_score,overall_priority_score,policy_priority_category,overall_priority_rank
Odisha,2011,41974218.0,9590756.0,22.85,17.75,9.2,2011,22.85,9.2,True,2011,72.9,52.2,20.6,2010,0.0,1338732,394877,,48.85951781237768,46.81103229613272,2021-22,0.42,8.77,33.12,113.5,114.8,114.1,100.3,101.0,100.6,89.1,88.5,88.8,43.2,40.7,42.1,32.6,28.1,30.4,20.1,14.2,17.2,1.011453744493392,1.0069790628115654,0.9932659932659933,0.9421296296296297,0.8619631901840491,0.7064676616915422,2013,2023,93.6,92.1,92.8,107.6,107.4,107.5,98.5,97.4,98.0,84.6,89.6,87.1,52.0,58.7,55.3,0.9839743589743589,0.9981412639405206,0.9888324873096447,1.0591016548463357,1.1288461538461538,68.3,74.15,71.19999999999999,1.0856515373352857,71.19999999999999,2021-22,1.0,1.0,1.0,1.1,1.0,1.0,1.0,1.1,1.0,1.0,1.0,1.1,1.05,16640.15,16640.15,19095.97,19095.97,21842.98,21842.98,17133.3,17125.25,13564.1,13564.1,6157.65,6157.65,6944.96,6944.96,5236.75,5236.75,9397.06,5266.47,0.0,0.0,22797.800000000003,22797.800000000003,100.0,26040.93,26040.93,100.0,27079.73,27079.73,100.0,26530.36,22391.72,84.40036245267686,13564.1,13564.1,100.0,116012.92000000001,111874.28000000001,96.43260423063225,141.42889257113828,141.42889257113828,1209.6326921464795,1166.4803066619568,392.0,632.0,511.0,0.0,15.0,7.0,392.0,617.0,504.0,63.5,39.7,51.6,2013,503,178,102,42,0,255,420,26,322,0.0,8994967.0,595789.0,9590756.0,6.21211716782285,23208.0,17798.0,12396.0,8684.0,3839.0,6.0,25.4,28.8,38.833333333333336,62.0,9464943.0,52.02067664855457,63.44168025100626,41.03999544424092,49.76809170430292,48.863082809901755,51.136917190098245,29.4,18.2,12.5,4.4,23.1,12.4,,2864.0,47.8,58.96000455575908,0.9294117647058824,0.9378672484585462,0.7976653696498055,1.0,0.3333333333333333,1.0,0.14893617021276595,0.255,0.7996555432295135,0.46797872340425534,0.6338171333168844,High education disadvantage and high economic vulnerability,1.0
Madhya Pradesh,2011,72626809.0,15316784.0,21.09,25.2,14.69,2011,21.09,14.69,True,2011,69.3,50.6,18.8,2010,0.0,2794779,946600,,49.38157900857277,50.61673357278682,2021-22,4.49,14.02,17.6,132.4,137.3,134.8,119.4,119.1,119.3,108.0,104.8,106.4,60.0,36.6,48.5,48.5,29.5,39.0,35.6,22.2,28.7,1.0370090634441087,0.9974874371859296,0.9703703703703703,0.61,0.6082474226804123,0.6235955056179775,2013,2023,80.9,79.4,80.2,87.8,83.2,85.5,83.2,80.7,82.0,56.1,56.3,56.2,30.9,35.0,32.9,0.9814585908529049,0.9476082004555809,0.9699519230769231,1.0035650623885917,1.132686084142395,43.5,45.65,44.55,1.049425287356322,44.55,2021-22,1.0,0.9,1.0,1.0,1.0,0.9,0.9,1.1,1.0,0.9,1.0,1.0,1.0,12198.58,12198.58,12344.0,12344.0,24529.43,24529.43,27048.58,27048.58,35000.0,35000.0,7698.9,7698.9,5429.34,5429.34,11458.18,11458.18,12743.85,6964.49,0.0,0.0,19897.48,19897.48,100.0,17773.34,17773.34,100.0,35987.61,35987.61,100.0,39792.43,34013.07,85.47623253970667,35000.0,35000.0,100.0,148450.86,142671.5,96.1068868176311,228.50749870207738,228.50749870207738,969.2038485363506,931.4716457449553,333.0,577.0,456.0,1.0,8.0,4.0,332.0,569.0,452.0,55.3,32.3,43.8,2013,740,198,227,68,4,236,143,31,497,0.8048289738430584,14276874.0,1039910.0,15316784.0,6.789349513579351,20927.0,15022.0,10687.0,7338.0,1619.0,11.0,26.7,31.481818181818184,40.22727272727273,43.0,15052812.0,50.29019120812776,59.29607959629071,41.19527921427571,49.90189499476908,63.847575017877055,36.152424982122945,52.3,10.8,10.5,9.5,14.2,2.8,,2656.0,49.4,58.80472078572429,0.9670588235294117,0.9353971746647922,0.7276264591439688,0.531400966183575,0.6666666666666666,0.826086956521739,0.0851063829787234,0.236,0.7656300180376829,0.3823977798334875,0.5740138989355852,High education disadvantage and high economic vulnerability,3.0
Jharkhand,2011,32988134.0,8645042.0,26.21,21.98,8.29,2011,26.21,8.29,True,2011,66.4,57.1,9.3,2010,25363.0,1517535,478008,43.0272444111501,48.83379954992801,48.9839082191093,2021-22,2.9,5.37,12.71,134.1,131.6,132.8,115.5,112.4,114.0,99.0,95.5,97.3,42.7,39.0,40.9,27.6,24.5,26.0,11.1,9.1,10.1,0.9813571961222968,0.9731601731601732,0.9646464646464646,0.9133489461358313,0.8876811594202898,0.8198198198198198,2013,2023,99.1,101.6,100.3,82.3,84.8,83.6,92.8,95.1,93.9,55.1,60.2,57.7,32.4,37.2,34.8,1.0252270433905146,1.0303766707168893,1.0247844827586206,1.0925589836660616,1.1481481481481484,43.75,48.7,46.25,1.1131428571428572,46.25,2021-22,1.0,1.0,1.1,1.1,1.0,1.0,1.1,1.1,1.0,1.0,1.1,1.1,1.1,7862.86,7862.86,0.0,0.0,12654.88,12654.88,0.0,0.0,5310.66,5310.66,1514.49,1514.49,0.0,0.0,3899.03,3899.03,0.0,0.0,5700.0,0.0,9377.35,9377.35,100.0,0.0,0.0,,16553.91,16553.91,100.0,0.0,0.0,,11010.66,5310.66,48.231986093476685,36941.92,31241.920000000002,84.5703742523399,127.36386937160052,61.43012376342416,427.31915009782483,361.3854044896486,226.0,540.0,394.0,3.0,33.0,19.0,223.0,507.0,375.0,51.6,28.7,40.15,2013,391,140,29,20,0,245,491,20,189,0.0,7868150.0,776892.0,8645042.0,8.986561314566199,15171.0,12239.0,9008.0,6370.0,2451.0,6.0,28.3,31.966666666666665,43.199999999999996,32.0,8471296.0,57.0837382497318,68.12397774791485,46.1635147561837,46.90740880734188,46.28981132284836,53.71018867715164,33.4,19.7,12.4,0.7,28.9,4.9,,1656.0,42.9,53.8364852438163,0.8141176470588236,0.8563682561209237,0.3579766536964981,0.38375603864734303,0.3333333333333333,0.7447045707915273,0.40425531914893614,0.245,0.5491103857713844,0.4646532966468211,0.5068818412091027,Economic vulnerability priority,6.0
Maharashtra,2011,112374333.0,10510213.0,9.35,22.54,10.08,2011,9.35,10.08,True,2011,82.3,65.7,16.6,2010,,1335035,568234,,47.57628077166516,45.859804235579006,2021-22,0.77,2.85,21.04,115.9,112.7,114.4,104.6,98.9,101.9,96.8,90.1,93.6,56.5,40.8,49.0,54.0,41.0,47.7,51.2,41.2,46.3,0.9723899913718723,0.945506692160612,0.9307851239669421,0.7221238938053097,0.7592592592592593,0.8046875,2013,2023,101.0,104.7,102.8,96.9,100.6,98.6,99.4,103.2,101.2,90.7,91.5,91.1,54.7,54.4,54.6,1.0366336633663367,1.0381836945304437,1.0382293762575452,1.0088202866593163,0.9945155393053016,72.7,72.95,72.85,1.0034387895460797,72.85,2021-22,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.95,15575.38,15575.38,18149.52,18149.52,19214.82,19214.82,9026.85,9026.85,57035.8,56371.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15575.38,15575.38,100.0,18149.52,18149.52,100.0,19214.82,19214.82,100.0,9026.85,9026.85,100.0,57035.8,56371.8,98.83581890672174,119002.37,118338.37,99.44202791927589,542.6702579671792,536.352593425081,1132.2545984558067,1125.9369339137086,447.0,561.0,504.0,2.0,5.0,4.0,445.0,555.0,501.0,61.6,23.3,42.45,2013,214,46,11,6,0,218,719,22,63,0.0,9006077.0,1504136.0,10510213.0,14.311184749538377,10257.0,6738.0,4836.0,3760.0,930.0,,,,,45.0,10334671.0,65.33029302045513,73.86391398429618,56.66043894382318,50.672318267315916,82.33164122979821,17.66835877020178,37.0,12.4,19.8,18.0,6.3,6.4,,3584.0,34.3,43.33956105617682,0.611764705882353,0.6893953822326738,0.642023346303502,0.6352657004830918,,0.7959866220735786,0.0851063829787234,0.218,0.6446122837254051,0.366364335017434,0.5054883093714195,High education disadvantage and high economic vulnerability,7.0
Rajasthan,2011,68548437.0,9238534.0,13.48,30.16,8.86,2011,13.48,8.86,True,2011,66.1,52.8,13.3,2010,47602.0,1343512,454484,39.42691483551111,46.02109992318639,41.6863960007393,2021-22,3.66,5.57,9.34,120.0,107.7,114.2,108.4,95.8,102.4,96.7,84.0,90.6,58.1,44.3,51.5,44.0,31.9,38.2,28.7,18.9,23.9,0.8975000000000001,0.8837638376383763,0.8686659772492243,0.7624784853700516,0.725,0.6585365853658536,2013,2023,97.8,98.1,97.9,98.3,97.1,97.7,98.0,97.7,97.9,80.3,79.4,79.8,59.1,57.8,58.5,1.0030674846625767,0.987792472024415,0.9969387755102042,0.9887920298879204,0.9780033840947546,69.7,68.6,69.15,0.9842180774748923,69.15,2021-22,1.0,0.9,0.9,0.9,1.0,0.9,0.9,0.9,1.0,0.9,0.9,0.9,0.9,25950.52,25950.52,25557.03,25557.03,13744.7,13744.7,18810.1,18810.1,22000.0,21920.15,5346.97,5346.97,3126.9,3126.9,6234.34,6234.34,3530.8,3182.27,0.0,0.0,31297.49,31297.49,100.0,28683.93,28683.93,100.0,19979.04,19979.04,100.0,22340.899999999998,21992.37,98.43994646589887,22000.0,21920.15,99.63704545454546,124301.35999999999,123872.97999999998,99.65536982057155,238.13301980595622,237.26870518634234,1345.4662828539679,1340.8293999892187,401.0,509.0,457.0,3.0,4.0,3.0,399.0,505.0,454.0,41.4,21.7,31.549999999999997,2013,828,22,135,617,3,82,93,78,777,0.3861003861003861,8693123.0,545411.0,9238534.0,5.903653112063018,10654.0,7763.0,5701.0,4456.0,1152.0,11.0,18.2,25.99090909090909,41.17272727272727,12.0,9180837.0,52.5076798226567,67.20003616228018,37.13395509581534,48.33679114442398,59.29392959487245,40.70607040512755,44.3,19.6,19.8,2.0,10.4,3.8,,2496.0,47.2,62.86604490418466,0.9152941176470589,1.0,0.5136186770428016,0.2820048309178744,0.6666666666666666,0.5529542920847268,0.06382978723404255,0.082,0.6755168584548803,0.23292802643958976,0.45422244244723503,Education disadvantage priority,9.0
Nagaland,2011,1978502.0,1710973.0,86.48,3.55,1.64,2011,86.48,1.64,True,2011,79.6,80.0,0.5,2010,108815.0,206716,83903,47.58810825713367,47.98370711507576,48.04357412726601,2021-22,3.88,3.2,16.79,88.7,86.7,87.7,74.3,73.4,73.9,63.1,62.2,62.7,28.9,30.6,29.7,23.5,23.9,23.7,18.3,17.5,17.9,0.9774520856820744,0.9878869448183043,0.9857369255150555,1.0588235294117647,1.0170212765957447,0.9562841530054644,2013,2023,85.7,89.5,87.5,66.4,72.9,69.5,77.6,82.6,80.0,54.8,64.1,59.3,36.6,43.4,40.0,1.044340723453909,1.0978915662650601,1.0644329896907216,1.1697080291970803,1.185792349726776,45.7,53.75,49.65,1.176148796498906,49.65,2021-22,1.1,1.1,1.2,1.2,1.1,1.1,1.1,1.1,1.1,1.1,1.2,1.2,1.2,3268.73,3268.73,3226.37,3226.37,4435.75,4435.75,3608.43,3608.43,3500.0,0.0,0.0,0.0,60.75,47.03,0.0,0.0,0.0,0.0,0.0,0.0,3268.73,3268.73,100.0,3287.12,3273.4,99.58261335150527,4435.75,4435.75,100.0,3608.43,3608.43,100.0,3500.0,0.0,0.0,18100.03,14586.310000000001,80.58721449632958,204.56196561839374,0.0,1057.8793470148273,852.5154984912094,325.0,532.0,432.0,42.0,51.0,47.0,283.0,481.0,385.0,,,,2013,695,241,126,253,0,154,224,39,620,0.0,1306838.0,404135.0,1710973.0,23.620185707197017,1388.0,1351.0,1265.0,1136.0,215.0,,,,,23.0,3369790.0,79.75140142727865,83.05237057365284,76.38144702827144,70.7037545069574,75.19753601358303,34.18763810207757,36.3,19.0,39.7,0.3,2.8,1.9,,568.0,20.0,23.618552971728562,0.2752941176470589,0.3756964989244361,0.015564202334630352,0.5069444444444444,,,1.0,0.154,0.29337481583764247,0.577,0.4351874079188212,Economic vulnerability priority,10.0
Chhattisgarh,2011,25545198.0,7822902.0,30.62,18.23,7.5,2011,30.62,7.5,True,2011,70.3,59.1,11.2,2010,22313.0,995539,395242,47.00847039842244,48.247431793229595,46.95098193005804,2021-22,1.99,5.92,12.79,104.8,98.4,101.6,95.6,90.0,92.8,85.9,79.7,82.9,58.0,55.2,56.7,45.9,40.3,43.1,32.6,24.7,28.6,0.9389312977099238,0.9414225941422595,0.9278230500582072,0.9517241379310345,0.877995642701525,0.7576687116564417,2013,2023,87.7,88.2,87.9,87.0,87.7,87.4,87.5,88.0,87.7,63.4,72.4,67.8,39.8,53.4,46.6,1.0057012542759407,1.0080459770114942,1.0057142857142858,1.1419558359621451,1.341708542713568,51.599999999999994,62.900000000000006,57.2,1.2189922480620157,57.2,2021-22,1.0,1.0,1.1,1.2,1.0,1.0,1.1,1.2,1.0,1.0,1.1,1.2,1.15,7022.69,7022.69,8790.24,8790.24,0.0,0.0,9330.35,9330.35,7125.0,7125.0,4796.94,4796.94,3541.54,3541.54,0.0,0.0,0.0,0.0,5250.0,0.0,11819.63,11819.63,100.0,12331.779999999999,12331.779999999999,100.0,0.0,0.0,,9330.35,9330.35,100.0,12375.0,7125.0,57.57575757575758,45856.759999999995,40606.759999999995,88.55130628504936,158.18937780378687,91.0787326749076,586.1860470705117,519.0754019416323,401.0,511.0,456.0,0.0,0.0,0.0,400.0,510.0,455.0,52.6,35.2,43.900000000000006,2013,613,185,229,105,0,233,247,36,519,0.0,7231082.0,591820.0,7822902.0,7.5652232381282545,,,,,,2.0,24.2,25.1,33.7,42.0,7790714.0,58.94139805414498,69.52511072797692,48.615475462197686,52.83835453335856,60.288156477057164,39.711843522942836,54.3,7.6,14.5,7.4,10.9,5.3,,1400.0,40.9,51.384524537802314,0.7670588235294118,0.8173653140756421,0.43190661478599224,0.38617149758454106,0.06666666666666667,0.8283166109253067,0.0,0.233,0.49383378332845085,0.3537722036417689,0.42380299348510986,Economic vulnerability priority,11.0
Jammu and Kashmir,2011,12541302.0,1493299.0,11.91,35.02,1.43,2011,11.91,1.43,True,2011,67.2,50.6,16.6,2010,7117.0,129837,52954,45.66530841646762,46.13245839013532,44.55376364391736,2021-22,3.31,5.02,14.17,82.8,78.0,80.6,73.8,68.4,71.2,66.3,60.9,63.8,36.0,26.7,31.7,30.6,22.5,26.9,24.7,18.1,21.7,0.9420289855072465,0.9268292682926831,0.9185520361990951,0.7416666666666667,0.7352941176470588,0.7327935222672065,2013,2023,142.6,136.4,139.5,84.2,86.6,85.3,117.0,115.6,116.3,65.4,62.3,64.0,32.1,28.8,30.6,0.9565217391304348,1.028503562945368,0.988034188034188,0.9525993883792048,0.897196261682243,48.75,45.55,47.3,0.9343589743589743,47.3,2021-22,0.9,1.1,0.9,0.8,1.0,1.0,0.9,0.8,0.9,1.1,0.9,0.8,0.8500000000000001,1048.29,1048.29,805.44,805.44,0.0,0.0,683.57,683.57,746.25,746.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1048.29,1048.29,100.0,805.44,805.44,100.0,0.0,0.0,,683.57,683.57,100.0,746.25,746.25,100.0,3283.55,3283.55,100.0,49.97324715278052,49.97324715278052,219.88563576350083,219.88563576350083,688.0,562.0,620.0,0.0,1.0,0.0,688.0,561.0,620.0,16.3,3.0,9.65,2013,368,36,0,0,0,32,588,14,36,0.0,1406833.0,86466.0,1493299.0,5.790267053014835,1295.0,766.0,488.0,369.0,89.0,15.0,19.8,28.720000000000002,39.24,12.0,1381674.0,50.02394450499901,60.08267333683633,39.16619528195508,35.66053996818353,44.71105644312624,55.28894355687376,18.6,30.4,28.5,0.0,18.6,3.8,,1784.0,49.4,60.83380471804492,0.9670588235294117,0.9676734843231013,0.642023346303502,0.42783816425120774,0.9333333333333333,0.06465997770345597,0.0,0.032,0.7875854303481112,0.032219992567818656,0.409902711457965,Education disadvantage priority,12.0
Gujarat,2011,60439692.0,8917174.0,14.75,19.2,8.55,2011,14.75,8.55,True,2011,78.0,62.5,15.6,2010,0.0,1225038,355397,,48.18438285179725,47.13630109426923,2021-22,0.54,6.47,20.35,108.8,109.4,109.1,98.1,98.5,98.3,88.8,88.7,88.7,52.5,51.9,52.2,43.5,41.4,42.5,33.2,29.5,31.4,1.005514705882353,1.0040774719673802,0.9988738738738739,0.9885714285714285,0.9517241379310345,0.8885542168674698,2013,2023,81.7,80.9,81.3,95.8,94.8,95.3,86.8,85.9,86.4,76.9,75.9,76.4,36.2,46.8,41.3,0.9902080783353734,0.9895615866388309,0.98963133640553,0.9869960988296489,1.2928176795580109,56.550000000000004,61.35,58.85,1.0848806366047745,58.85,2021-22,1.0,1.0,1.0,1.1,1.0,1.0,1.0,1.2,1.0,1.0,1.0,1.1,1.05,14004.48,14004.48,22977.64,22977.64,46170.25,46170.25,24426.38,24426.38,35000.0,19400.0,5248.34,5248.34,2198.84,2198.84,3689.18,3689.18,5451.67,5451.67,6200.0,0.0,19252.82,19252.82,100.0,25176.48,25176.48,100.0,49859.43,49859.43,100.0,29878.050000000003,29878.050000000003,100.0,41200.0,19400.0,47.0873786407767,165366.78000000003,143566.78000000003,86.81718299165044,462.0297865669101,217.5577150339334,1854.475195841194,1610.0031243082174,370.0,567.0,473.0,8.0,9.0,8.0,363.0,558.0,465.0,36.5,30.1,33.3,2013,450,203,84,27,0,96,512,23,314,0.0,8021848.0,895326.0,8917174.0,10.040467977859354,6085.0,4970.0,4089.0,3531.0,935.0,1.0,31.5,31.5,44.3,29.0,8706477.0,62.149528770362565,71.44834611060249,52.67811191599082,49.8403157787013,68.4089298576221,31.591070142377912,40.7,11.9,24.4,9.5,7.9,5.7,,1664.0,37.5,47.32188808400918,0.6870588235294118,0.7527416136347272,0.603112840466926,0.6144323671497586,0.0,0.5919732441471571,0.1702127659574468,0.096,0.5314691289561647,0.2860620033682013,0.408765566162183,Monitor / comparatively lower priority,13.0
Tripura,2011,3673917.0,1166813.0,31.76,17.45,1.12,2011,31.76,1.12,True,2011,87.2,79.1,8.2,2010,1907.0,168117,74228,45.9884635553225,48.63339222089378,47.05097806757558,2021-22,1.99,7.49,9.21,127.4,123.1,125.3,116.4,112.2,114.4,101.3,96.9,99.1,75.0,70.0,72.6,50.1,44.3,47.3,23.2,17.1,20.2,0.966248037676609,0.9639175257731959,0.9565646594274433,0.9333333333333333,0.8842315369261476,0.7370689655172414,2013,2023,119.5,123.3,121.3,91.9,95.4,93.6,107.9,111.5,109.6,69.0,76.5,72.6,47.7,56.7,52.0,1.0317991631799164,1.0380848748639826,1.0333642261353104,1.108695652173913,1.1886792452830188,58.35,66.6,62.3,1.141388174807198,62.3,2021-22,1.0,1.0,1.1,1.2,1.0,1.0,1.1,1.1,1.0,1.0,1.1,1.2,1.15,2355.78,2355.78,4804.98,4804.98,7188.77,7188.77,4522.33,4522.33,4000.0,3993.9,386.18,386.18,252.09,252.09,58.55,58.55,1136.76,1124.1,0.0,0.0,2741.96,2741.96,100.0,5057.07,5057.07,100.0,7247.320000000001,7247.320000000001,100.0,5659.09,5646.43,99.77628912068901,4000.0,3993.9,99.8475,24705.440000000002,24686.68,99.92406530707406,342.8141441687743,342.2913525989169,2117.343567478251,2115.7357691420993,211.0,582.0,409.0,39.0,37.0,38.0,172.0,545.0,372.0,,,,2013,884,9,227,640,0,39,80,66,876,0.0,1117566.0,49247.0,1166813.0,4.220642039469906,564.0,466.0,385.0,301.0,22.0,,,,,19.0,1118457.0,78.89166360441214,86.32496653872253,71.29769664815008,43.555154556679426,64.45584354159345,35.54415645840654,33.4,22.3,12.4,4.5,22.1,5.3,,1216.0,20.900000000000006,28.70230335184992,0.2964705882352943,0.4565628933010761,0.3151750972762646,0.2780797101449276,,,0.8085106382978723,0.039,0.3365720722393907,0.42375531914893616,0.3801636956941634,Economic vulnerability priority,15.0
